Happiness,GovTrust
7.526,0.44453
7.509,0.41203
7.501,0.14975
7.498,0.35776
7.413,0.41004
7.404,0.31329
7.339,0.29927
7.334,0.41904
7.313,0.32331
7.291,0.40867
7.267,0.08728
7.119,0.21348
7.104,0.14868
7.087,0.10547
7.039,0.12275
6.994,0.28551
6.952,0.14166
6.929,0.26248
6.907,0.29754
6.871,0.35329
6.778,0.18355
6.739,0.46987
6.725,0.27399
6.705,0.11451
6.701,0.08423
6.65,0.07296
6.596,0.03986
6.573,0.35561
6.545,0.21394
6.488,0.17554
6.481,0.05399
6.478,0.17808
6.474,0.02833
6.379,0.30008
6.379,0.0663
6.375,0.48049
6.361,0.06137
6.355,0.16157
6.324,0.08701
6.269,0.12692
6.239,0.23669
6.218,0.25772
6.168,0.01241
6.084,0.08304
6.078,0.02947
6.068,0.10613
6.005,0.09081
5.992,0.16292
5.987,0.28333
5.977,0.02556
5.976,0.18037
5.956,0.10771
5.921,0.18985
5.919,0.11132
5.897,0.01903
5.856,0.03586
5.835,0.055
5.835,0.07716
5.822,0.07746
5.813,0.0182
5.802,0.17457
5.771,0.16578
5.768,0.03635
5.743,0.05292
5.658,0.28467
5.648,0.05203
5.615,0.10339
5.56,0.0889
5.546,0.05228
5.538,0.07396
5.528,0.00679
5.517,0.18519
5.51,0.04294
5.488,0.04002
5.458,0.31647
5.44,0.3118
5.401,0.06547
5.389,0.12348
5.314,0.00322
5.303,0.13297
5.291,0.17914
5.279,0.11757
5.245,0.02745
5.196,0.1616
5.185,0.04762
5.177,0.04339
5.163,0
5.161,0.12721
5.155,0.12372
5.151,0.08404
5.145,0.04472
5.132,0.1388
5.129,0.03061
5.123,0.01521
5.121,0.07047
5.061,0.11556
5.057,0.36794
5.045,0.0817
5.033,0.04127
4.996,0.13509
4.907,0.03285
4.876,0.22423
4.875,0.0305
4.871,0.06906
4.813,0.0557
4.795,0.11479
4.793,0.07008
4.754,0.10613
4.655,0.05301
4.643,0.12583
4.635,0.08196
4.575,0.13636
4.574,0.10398
4.513,0.06126
4.508,0.1717
4.459,0.08415
4.415,0.07964
4.404,0.08722
4.395,0.20243
4.362,0.10393
4.36,0.03616
4.356,0.06686
4.324,0.01829
4.276,0.0326
4.272,0.06075
4.252,0.3188
4.236,0.09753
4.219,0.11681
4.217,0.00615
4.201,0.17955
4.193,0.08582
4.156,0.07564
4.139,0.10039
4.121,0.09314
4.073,0.13647
4.028,0.14476
3.974,0.10769
3.956,0.18437
3.916,0.1553
3.907,0.08092
3.866,0.08434
3.856,0.17176
3.832,0.13015
3.763,0.04952
3.739,0.12533
3.739,0.06442
3.724,0.05892
3.695,0.07506
3.666,0.05099
3.622,0.04852
3.607,0.1192
3.515,0.50521
3.484,0.06681
3.36,0.07112
3.303,0.11587
3.069,0.17233
2.905,0.09419
